C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15;C16;C17;C18;C19;C20;C21;C22;C23;C24;C25;C26;C27;C28;C29;C30;C31;C32;C33;C34;C35;C36;C37;C38;C39;C40;C41;C42;C43;C44;C45;C46;C47;C48;C49;C50;C51;C52;C53;C54;C55;C56;C57;C58;C59;C60;C61;C62;C63;C64;C65;C66;C67;C68;C69;C70;C71;C72;C73;C74;C75;C76;C77;C78;C79;C80;C81;C82;C83;C84;C85;C86;C87;C88;C89;C90;C91;C92;C93;C94;C95;C96;C97;C98;C99;C100;
180.69585987261146;109;0.9227342009614258;1.3156146179401993;186.4346717654557;145.4249649368864;228;219.15155203895313;215.48519218651543;5.9087018544935805;108.74520547945205;253;208.32456408687673;246;149;156;234.16193326181468;15.919349593495935;2.3104761904761904;220;188.24418604651163;0.0;99;0.9967845659163987;123.45484949832776;189;199.6498117267348;0.0;201.99309586631486;105;119.8351145038168;138.91120976692565;146.5878725590956;1.3932584269662922;173;185.1896420411272;0.0;83.12849162011173;0.13933849401829698;156.4682249817385;155;93;6.861650485436893;133;65;186;222.30563002680964;0.0;0.19666931007137192;45.66464646464647;147;39.695338148391336;0.0;0.3822784810126582;27.38391845979615;205.21231155778895;157.4278903456496;192.6580310880829;6.362036156041865;85;0.0392156862745098;192.68556701030928;254;203;124.39588688946016;202.1636575422248;134;0.0;217.3015873015873;247;212.49213483146067;215.1796129032258;7.9277628032345016;237;128;239;127.9205298013245;157;199.35297691373026;167;217.04884318766068;160.4881469115192;0;194.01220930232557;218.7623716153128;225.05947955390334;210;137.92318898159184;151;42;170;4.482721956406167;11;0.0;149.17922077922077;81;17.70731707317073;99.40948275862068;27.005524861878452;0.0;
188.0015923566879;227;0.8684488216672529;1.3156146179401993;127.04015296367113;138.6704067321178;4;225.8125380401704;221.34803612686412;5.9087018544935805;58.43287671232877;3;207.35331905781584;31;219;43;236.3909999435379;21.28650406504065;2.6323809523809523;241;192.61821705426357;0.0;149;0.9967845659163987;124.55685618729098;38;210.17697686928457;0.0;199.71424802110818;80;130.87837150127226;127.59877913429523;146.30900993490923;1.3932584269662922;11;198.43792840822545;0.0;57.72811918063315;0.08726249120337791;23.966398831263696;157;84;6.861650485436893;25;161;125;212.5254691689008;0.0;0.19666931007137192;40.406060606060606;56;37.07156927117531;0.0;0.3822784810126582;131.50736126840317;210.81155778894473;153.81168057210965;192.6580310880829;6.362036156041865;246;0.0392156862745098;192.68556701030928;12;84;126.07814910025706;205.44612696563775;196;0.0;217.45238095238096;151;224.99700374531835;199.8898064516129;0.32075471698113206;163;238;29;134.45474613686534;50;198.20959902794652;17;217.04884318766068;156.191652754591;174;186.62209302325581;232.08823529411765;224.78438661710038;17;203.4065686664018;47;36;27;22.59223817118554;90;0.0;118.55584415584416;249;17.70731707317073;99.25;27.7646408839779;0.0;
189.79777070063693;152;0.8763043733145738;1.3156146179401993;128.3135755258126;144.0140252454418;92;219.15155203895313;220.78764965343416;5.9087018544935805;123.83013698630137;182;206.3621902722545;234;158;75;231.17316921687086;19.78829268292683;2.513015873015873;104;193.61385658914728;0.0;67;0.9967845659163987;124.80869565217391;20;208.93921463152233;0.4328097731239092;207.60255057167987;203;125.34249363867684;214.42286348501665;163.02740664611167;1.3932584269662922;207;195.39451637471439;0.0;0.2309124767225326;0.08726249120337791;5.887509130752374;254;42;6.861650485436893;184;20;247;5.485254691689008;0.0;0.19666931007137192;36.6989898989899;141;39.695338148391336;0.0;0.3822784810126582;167.98754246885616;210.97613065326632;160.25029797377832;192.6580310880829;6.421027592768792;226;0.06377500495147553;192.68556701030928;31;72;187.17172236503856;204.68316831683168;20;0.0;226.65079365079364;32;218.77228464419477;133.7698064516129;2.526684636118598;3;213;79;183.60596026490066;159;197.40583232077765;200;226.573264781491;157.5228714524207;92;131.0546511627907;228.70868347338936;224.5092936802974;228;220.70507217587075;199;216;89;110.03508771929825;118;0.0;31.241558441558443;150;11.089430894308943;99.25;28.153591160220994;0.0;
205.87101910828025;31;1.5814280689412592;1.3156146179401993;190.02103250478012;176.90182328190744;140;240.18624467437616;221.38584331022895;0.0884450784593438;97.87397260273973;228;208.26185377791373;29;130;158;234.67991643611316;92.11902439024391;222.52380952380952;127;190.14437984496124;0.0;221;0.9967845659163987;126.05685618729098;199;200.4744486282948;0.0;202.9113016710642;35;119.8351145038168;138.92508324084352;138.9571771154505;0.0;197;217.47067783701448;213.64733754512636;86.36126629422719;0.13933849401829698;168.472607742878;251;96;0.0;184;7;224;222.30563002680964;168.69851380042462;0.2950039651070579;142.01111111111112;174;147.8365068942876;0.0;0.0;27.38391845979615;202.98115577889448;151.78307508939213;0.0;0.058991436726926735;210;0.0;192.68556701030928;59;161;124.39588688946016;202.1636575422248;133;205.42061855670104;37.79365079365079;170;221.0187265917603;215.8098064516129;14.34501347708895;169;79;210;131.6225165562914;206;203.26427703523694;142;217.04884318766068;166.27579298831387;190;195.3029069767442;218.7623716153128;118.0185873605948;227;137.17838696861344;245;58;129;4.812333864965444;169;0.49073170731707316;149.17922077922077;104;227.65853658536585;71.78017241379311;4.521546961325967;218.14349775784754;
213.17675159235668;59;1.4922030718724353;1.3156146179401993;127.11281070745697;168.9509116409537;164;240.18624467437616;226.47048939298466;0.0884450784593438;47.56164383561644;29;209.83267054144997;195;101;98;237.58353565580714;101.61495934959349;226.51809523809524;168;194.51841085271317;0.0;155;0.9967845659163987;125.4675585284281;181;210.79397525551371;0.0;200.50795954265612;246;133.25089058524173;128.24916759156494;137.33470366563893;0.0;174;224.17745620715917;215.9255415162455;60.960893854748605;0.08726249120337791;31.574872169466765;174;160;0.0;186;217;133;212.5254691689008;169.78025477707007;0.2950039651070579;136.75252525252526;1;130.33092580433356;0.0;0.0;147.10192525481312;208.58040201005025;148.1668653158522;0.0;0.058991436726926735;116;0.0;192.68556701030928;205;246;124.82262210796915;205.44612696563775;95;215.18556701030928;37.79365079365079;11;225.32584269662922;201.0356129032258;0.3876010781671159;42;54;3;148.91169977924946;27;202.1208991494532;110;217.04884318766068;161.97929883138565;39;190.15;232.08823529411765;117.74349442379182;95;205.30777380479407;142;236;79;27.53003721424774;226;0.49073170731707316;118.55584415584416;7;200.58536585365854;71.62068965517241;5.343646408839779;222.08632286995515;
214.97292993630575;228;1.5174111853675694;1.3156146179401993;128.66921606118547;173.63955119214586;34;237.96591600730372;225.89813064482252;0.0884450784593438;123.83013698630137;86;207.91862955032119;217;24;52;231.72181130370956;100.70146341463415;226.3263492063492;82;195.62160852713177;0.0;36;0.9967845659163987;122.4648829431438;241;209.97525551371706;0.4328097731239092;208.7263412489006;205;126.35928753180661;215.62902330743617;155.54881808838644;0.0;235;223.65194211728866;215.86755415162455;3.463687150837989;0.08726249120337791;5.887509130752374;52;167;0.0;43;144;122;5.485254691689008;165.16985138004247;0.2950039651070579;142.8030303030303;158;151.7327642810243;0.0;0.0;183.58210645526614;208.74497487437185;154.60548271752086;0.0;0.17697431018078022;212;0.024559318676965737;192.68556701030928;185;118;193.2210796915167;204.68316831683168;169;201.10309278350516;37.79365079365079;44;221.83370786516855;132.81496774193548;4.8663072776280325;103;96;224;197.9812362030905;216;203.60996354799514;209;226.573264781491;163.31051752921536;144;130.66744186046512;228.70868347338936;117.46840148698885;66;222.30075486690504;5;40;186;130.19085592769804;119;0.24195121951219511;31.241558441558443;19;14.113821138211382;71.62068965517241;5.480662983425415;221.81165919282512;
205.87101910828025;150;192.42994489389142;62.04983388704319;191.38878266411726;179.29733520336606;22;240.18624467437616;223.72043688300778;0.41512125534950073;92.43835616438356;187;206.7956561639645;176;170;66;234.49940714810006;171.73723577235774;222.56;52;183.05717054263565;0.0;151;167.63344051446944;127.57842809364548;82;206.9467455621302;0.0;203.94036939313983;78;124.81933842239185;141.5532741398446;136.38369304556355;0.5168539325842697;193;218.75704493526277;213.64733754512636;93.05400372439479;204.58339197748066;168.472607742878;143;209;0.0;117;43;35;222.30563002680964;168.69851380042462;0.2950039651070579;144.0151515151515;214;147.8365068942876;191.3298969072165;0.0;27.38391845979615;191.6394472361809;136.94636471990464;0.0;0.058991436726926735;27;0.0;0.0;235;3;124.39588688946016;208.5608619685498;61;205.42061855670104;37.79365079365079;86;221.0187265917603;216.26812903225806;26.533153638814017;182;124;231;131.6225165562914;11;202.27521263669502;173;32.57583547557841;169.55325542570952;15;196.98081395348837;229.07422969187675;2.8550185873605947;25;137.84253741226328;188;101;20;4.812333864965444;72;0.49073170731707316;149.17922077922077;173;227.65853658536585;156.6293103448276;0.0;218.42937219730942;
213.29458598726114;157;193.4190409192168;62.04983388704319;129.94263862332696;171.29032258064515;101;240.18624467437616;228.02688510817055;0.409058487874465;42.12602739726027;117;209.79779749158763;110;198;139;237.49666873694315;182.79739837398375;226.51809523809524;176;187.32364341085272;0.0;107;168.43890675241158;126.04314381270903;131;211.37923614846693;0.0;201.83764291996482;157;143.2437659033079;135.00443951165371;135.673860911271;0.4772605671482076;65;225.66336633663366;215.9255415162455;66.96461824953445;209.6256157635468;37.462381300219135;8;36;0.0;27;87;213;212.5254691689008;169.78025477707007;0.2950039651070579;138.75656565656567;235;130.33092580433356;199.49656357388315;0.0;147.10192525481312;197.23869346733667;132.27175208581644;0.0;0.058991436726926735;58;0.0;0.0;59;245;124.44215938303341;209.08503203261503;144;215.18556701030928;37.79365079365079;245;225.32584269662922;201.37935483870967;6.102964959568733;49;52;140;149.15673289183223;84;200.68226002430134;27;32.57583547557841;165.2567612687813;143;192.43023255813952;235.49439775910363;2.579925650557621;12;204.6511720301947;240;149;161;27.53003721424774;227;0.49073170731707316;118.55584415584416;48;200.58536585365854;156.6293103448276;0.8220994475138121;222.37219730941703;
214.97292993630575;108;195.45867041857193;62.04983388704319;128.66921606118547;176.01122019635343;103;237.96591600730372;228.34152488972904;0.3826676176890157;107.52328767123288;20;206.6736004894463;70;133;158;231.48509400937272;185.38048780487804;226.3263492063492;103;188.35513565891472;0.0;130;168.22829581993568;127.37508361204013;232;212.49220010758472;0.4328097731239092;209.48456464379947;51;138.9506361323155;216.57491675915648;152.54436450839327;0.5168539325842697;32;225.012185833968;215.86755415162455;9.467411545623836;206.29275158339198;5.887509130752374;196;172;0.0;210;20;27;5.485254691689008;165.16985138004247;0.2950039651070579;144.8070707070707;172;151.7327642810243;193.3556701030928;0.0;183.58210645526614;197.4032663316583;138.7103694874851;0.0;0.17697431018078022;36;0.024559318676965737;0.0;233;16;185.72596401028278;215.824111822947;74;201.10309278350516;37.79365079365079;173;221.83370786516855;138.79225806451612;19.077628032345014;72;206;140;187.85320088300222;91;202.14884568651277;223;32.57583547557841;168.02103505843073;231;130.53837209302327;237.22408963585434;2.3048327137546467;4;222.7816183286982;143;143;185;134.34396597554493;57;0.24195121951219511;31.241558441558443;6;14.113821138211382;156.31034482758622;1.507182320441989;222.03363228699553;
199.078025477707;171;0.15992496189471217;185.843853820598;184.73868706182282;164.55680224403926;113;229.119293974437;223.63327032136107;219.63373751783166;109.93424657534247;31;8.37503823799327;220;68;2;237.70916379651064;2.5808130081300815;0.0;88;147.28003875968992;0.0;24;144.65594855305466;130.81204013377928;134;0.706831629908553;0.0;202.87172383465258;186;124.79083969465648;139.19200887902332;169.86022610483042;152.30925628678438;235;6.70982482863671;0.0;139.28119180633146;216.09078114004222;156.90211833455078;171;29;33.34466019417476;72;133;32;227.49329758713137;168.69851380042462;0.5693893735130848;26.903030303030302;168;4.72225869993434;0.0;0.3822784810126582;0.0;205.77010050251258;157.4278903456496;0.0;202.1546146527117;171;0.4317686670627847;0.0;50;216;124.28174807197944;0.21665695981362842;20;1.68659793814433;217.3015873015873;97;0.0;216.54606451612904;6.684636118598383;157;137;14;123.72626931567329;132;191.8016403402187;160;217.04884318766068;168.51552587646077;148;194.78662790697675;216.5513538748833;224.78438661710038;67;133.53410144351741;253;10;196;0.0;85;1.3912195121951219;161.0961038961039;69;22.536585365853657;206.10775862068965;81.33259668508288;226.69170403587444;
