LogR;LogC;Rank;Counter;Images
0,000000;1,863323;1;73;20170703,20170708,20170718,;20170703,20170708,20170718,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170824,20170827,20170911,;20170824,20170827,20170911,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171207,20171210,20171215,;
0,301030;1,732394;2;54;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170819,20170822,20170824,;20170822,20170824,20170827,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171207,20171210,20171215,;
0,477121;1,732394;3;54;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170620,20170630,20170703,;20170620,20170630,20170703,;
0,602060;1,724276;4;53;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170620,20170630,20170703,;
0,698970;1,707570;5;51;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170312,20170315,20170404,;20170312,20170315,20170404,;20170911,20170918,20170928,;20170911,20170918,20170928,;20170918,20170928,20171006,;20170918,20170928,20171006,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171207,20171210,20171215,;20171207,20171210,20171215,;20171207,20171210,20171215,;20171207,20171210,20171215,;20171207,20171210,20171215,;
0,778151;1,672098;6;47;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170104,20170111,20170203,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170111,20170203,20170210,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170203,20170210,20170220,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170210,20170220,20170312,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170220,20170312,20170315,;20170312,20170315,20170404,;20170312,20170315,20170404,;20170911,20170918,20170928,;20170911,20170918,20170928,;20170918,20170928,20171006,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171127,20171207,20171210,;20171207,20171210,20171215,;20171207,20171210,20171215,;20171207,20171210,20171215,;20171207,20171210,20171215,;
0,845098;1,623249;7;42;20170703,20170708,20170718,;20170703,20170708,20170718,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170824,20170827,20170911,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171207,20171210,20171215,;
0,903090;1,623249;8;42;20170703,20170708,20170718,;20170703,20170708,20170718,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170819,20170822,20170824,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170822,20170824,20170827,;20170824,20170827,20170911,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171028,20171031,20171102,;20171122,20171127,20171207,;20171127,20171207,20171210,;20171207,20171210,20171215,;
0,954243;1,477121;9;30;20170421,20170424,20170501,;20170421,20170424,20170501,;20170421,20170424,20170501,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170424,20170501,20170511,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170501,20170511,20170514,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170511,20170514,20170524,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170514,20170524,20170531,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170524,20170531,20170603,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170531,20170603,20170613,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170603,20170613,20170620,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170613,20170620,20170630,;20170620,20170630,20170703,;20170620,20170630,20170703,;20170620,20170630,20170703,;
1,000000;1,477121;10;30;20170708,20170718,20170720,;20170708,20170718,20170720,;20170708,20170718,20170720,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170718,20170720,20170723,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170720,20170723,20170730,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170723,20170730,20170807,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170730,20170807,20170814,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170807,20170814,20170819,;20170814,20170819,20170822,;20170814,20170819,20170822,;20170819,20170822,20170824,;20170822,20170824,20170827,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171018,20171026,20171028,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171026,20171028,20171031,;20171028,20171031,20171102,;20171028,20171031,20171102,;
