LogR;LogC;Rank;Counter;pattern;Images
0,000000;1,799341;1;63;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,2,;11,3,;11,4,;11,4,;11,4,;
0,301030;1,477121;2;30;124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,0,0,0,0,0,0,0,0,0,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;
0,477121;1,431364;3;27;255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,255,198,198,;2,2,;2,3,;2,4,;3,2,;3,3,;3,4,;4,2,;4,3,;4,4,;5,2,;5,3,;5,4,;7,2,;7,3,;7,4,;8,2,;8,3,;8,4,;8,2,;8,3,;8,4,;9,2,;9,3,;9,4,;10,2,;10,3,;10,4,;
0,602060;1,380211;4;24;124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,;2,2,;2,3,;2,4,;2,5,;2,6,;3,2,;3,3,;3,4,;3,5,;3,6,;4,2,;4,3,;4,4,;4,5,;4,6,;5,4,;5,5,;5,6,;8,2,;8,3,;8,4,;9,2,;9,3,;9,4,;
0,698970;1,278754;5;19;198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,198,0,0,0,0,0,0,0,0,0,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,2,;11,3,;11,4,;11,5,;11,6,;11,4,;11,5,;11,6,;11,4,;
0,778151;1,278754;6;19;198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,198,198,124,;3,2,;3,3,;3,4,;3,5,;3,6,;4,2,;4,3,;4,4,;4,5,;4,6,;5,4,;5,5,;5,6,;6,4,;6,5,;6,6,;7,4,;7,5,;7,6,;
0,845098;1,278754;7;19;198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,198,124,124,;3,2,;3,3,;3,4,;3,5,;3,6,;4,2,;4,3,;4,4,;4,5,;4,6,;5,4,;5,5,;5,6,;6,4,;6,5,;6,6,;7,4,;7,5,;7,6,;
0,903090;1,255273;8;18;255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,;2,2,;2,3,;2,4,;3,2,;3,3,;3,4,;4,2,;4,3,;4,4,;5,2,;5,3,;5,4,;7,2,;7,3,;7,4,;8,2,;8,3,;8,4,;
0,954243;1,255273;9;18;198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,198,255,255,;2,2,;2,3,;2,4,;2,5,;2,6,;3,2,;3,3,;3,4,;3,5,;3,6,;4,2,;4,3,;4,4,;4,5,;4,6,;5,4,;5,5,;5,6,;
1,000000;1,255273;10;18;124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,124,198,255,;2,2,;2,3,;2,4,;2,5,;2,6,;3,2,;3,3,;3,4,;3,5,;3,6,;4,2,;4,3,;4,4,;4,5,;4,6,;5,4,;5,5,;5,6,;
1,041393;1,113943;11;13;124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,124,124,255,;2,2,;2,3,;2,4,;2,5,;2,6,;3,2,;3,3,;3,4,;3,5,;3,6,;7,4,;7,5,;7,6,;
1,079181;1,041393;12;11;255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,198,255,255,198,255,255,198,255,255,;6,4,;6,5,;6,6,;7,4,;7,5,;7,6,;10,2,;10,3,;10,4,;10,5,;10,6,;
